Fid,Timestamp,Source_IP_Address,Destination_IP_Address,Source_Port,Destination_Port,Protocol,Packet_Length,Packet_Type,Traffic_Type,Payload_Data,Malware_Indicators,Anomaly_Scores,Alerts_Warnings,Attack_Type,Attack_Signature,Action_Taken,Severity_Level,Device_Information,Network_Segment,Geo_City_location_Data,Proxy_Information,Firewall_Logs,IDS_IPS_Alerts,Log_Source
10.42.0.211-10.42.0.1-59030-53-17,18-04-23 16:46,4.255.187.165,136.159.186.239,39934,5259,TCP,838,Control,HTTP,Sed facere culpa aliquam. Adipisci error quisquam reprehenderit itaque fugit illum. Minima exercitationem occaecati nemo repudiandae officia quasi. Tempora maxime commodi illo.,NA,43.83,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Opera/8.72.(Windows NT 6.1; ia-FR) Presto/2.9.160 Version/12.00,Segment B,"Solapur, Telangana",NA,Log Data,NA,Server
10.42.0.211-74.125.192.188-34206-5228-6,21-02-23 7:02,212.164.196.41,32.26.31.49,16513,50583,TCP,969,Data,HTTP,"Dolore nisi voluptatem. Debitis explicabo fuga perferendis esse omnis.
Sit voluptatibus aliquid eos molestias cumque. Harum rem doloremque officiis nesciunt velit suscipit.",NA,40.46,Alert Triggered,DDoS,Known Pattern A,Logged,Low,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/46.0.873.0 Safari/536.0",Segment B,"Darbhanga, Mizoram",20.252.145.34,Log Data,Alert Data,Firewall
10.42.0.211-31.13.80.52-58509-80-6,29-12-20 2:50,119.101.120.119,47.125.34.52,4510,26783,TCP,124,Control,DNS,"Qui sapiente laboriosam minima veritatis impedit vel. Placeat itaque incidunt non. Consequuntur quo quod.
Recusandae similique explicabo error labore impedit et. Beatae tenetur voluptatum veniam.",NA,44.75,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 10.0; Trident/4.0),Segment C,"Rampur, Rajasthan",NA,NA,NA,Firewall
172.217.6.238-10.42.0.151-443-60516-6,27-07-20 0:00,104.176.150.78,110.80.185.102,55147,17595,TCP,461,Data,HTTP,"Ipsa est placeat cumque ut id. Quisquam provident quidem beatae. Corporis nam aut expedita reprehenderit.
Expedita eum cupiditate dolor beatae inventore minus.",IoC Detected,13.19,Alert Triggered,DDoS,Known Pattern B,Ignored,High,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/18.1i4735.0 Mobile/92M384 Safari/533.2",Segment B,"Ahmednagar, Uttarakhand",106.203.136.99,Log Data,Alert Data,Server
10.42.0.151-118.92.201.162-43477-20920-17,16-07-21 20:45,116.61.253.182,170.92.148.90,24907,37634,ICMP,845,Control,DNS,"Ipsam ullam doloribus magni eos beatae eveniet. Labore provident vel perspiciatis doloribus excepturi.
Modi eaque dolor ut.",NA,89.99,Alert Triggered,Malware,Known Pattern B,Blocked,Medium,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_1 rv:4.0; an-ES) AppleWebKit/533.41.7 (KHTML, like Gecko) Version/4.0.4 Safari/533.41.7",Segment A,"Kharagpur, West Bengal",71.135.96.151,Log Data,NA,Firewall
174.35.73.97-10.42.0.42-80-45727-6,29-04-22 14:46,214.247.90.42,196.26.121.164,37998,1757,UDP,410,Control,DNS,"Architecto voluptatum delectus.
Aut quia fugiat molestias eum magnam animi. Dignissimos incidunt magnam officiis omnis iste soluta.",IoC Detected,86.91,Alert Triggered,Malware,Known Pattern B,Blocked,Low,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/531.13.4 (KHTML, like Gecko) Version/4.0 Safari/531.13.4",Segment C,"Tadepalligudem, Rajasthan",NA,Log Data,Alert Data,Server
10.42.0.42-47.89.69.217-54360-443-6,24-02-23 6:39,57.7.171.107,76.146.23.52,3133,46077,UDP,1425,Data,DNS,Praesentium voluptatibus sapiente.,NA,72.25,Alert Triggered,DDoS,Known Pattern A,Logged,High,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/5.1),Segment A,"Gaya, Gujarat",169.32.12.215,NA,Alert Data,Server
10.42.0.211-10.42.0.1-41533-53-17,15-09-23 15:43,46.236.76.78,68.194.124.162,40832,28015,UDP,118,Data,HTTP,"Esse porro corrupti. Iusto magnam sunt dolorem fuga explicabo.
Incidunt corrupti rem quisquam. Est iure suscipit. Pariatur tempora suscipit cum.",IoC Detected,96.27,Alert Triggered,Malware,Known Pattern A,Logged,Medium,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/5.1),Segment A,"Chandrapur, Chhattisgarh",50.108.129.83,NA,NA,Firewall
172.217.10.46-10.42.0.42-443-42123-6,06-10-23 6:53,71.41.31.239,105.193.254.47,39911,27107,TCP,1386,Control,DNS,"Ducimus totam dolor fugiat ipsa. Eum quas consectetur distinctio cum.
Voluptatum numquam ab quasi molestiae laboriosam maiores. Illo nemo nulla cupiditate placeat nemo quo.",IoC Detected,67.43,Alert Triggered,DDoS,Known Pattern A,Blocked,Medium,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/5.1),Segment C,"Guntakal, Rajasthan",NA,Log Data,NA,Server
10.42.0.151-10.42.0.1-19675-53-17,06-10-23 2:37,128.47.86.24,9.149.23.14,23021,31279,UDP,433,Control,DNS,Neque repellendus modi debitis dolorem officia. Placeat quae ipsum sapiente. Quia aspernatur dolores incidunt.,NA,89.86,Alert Triggered,Intrusion,Known Pattern A,Logged,Low,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/535.3.1 (KHTML, like Gecko) Version/5.0.4 Safari/535.3.1",Segment C,"Giridih, Assam",NA,Log Data,Alert Data,Firewall
172.217.12.170-10.42.0.151-443-46857-6,31-01-21 3:12,182.232.245.98,153.211.183.215,32552,15521,UDP,531,Control,FTP,"Ad officia corporis laudantium enim cumque facere. Tempora eos ad sed eaque minima quisquam.
Cupiditate magni alias quisquam veniam. Quaerat nobis quos ad molestiae eligendi.",NA,87.23,Alert Triggered,Malware,Known Pattern A,Blocked,High,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/533.47.5 (KHTML, like Gecko) Version/5.1 Safari/533.47.5",Segment C,"Katihar, Andhra Pradesh",183.242.33.16,Log Data,Alert Data,Firewall
10.42.0.211-123.59.190.237-41215-80-6,28-08-20 9:54,208.44.127.159,121.167.40.167,56607,33023,TCP,282,Control,HTTP,Fugit quae placeat dicta tenetur ipsa. Facilis optio corrupti nulla. Eos iste voluptatum natus dignissimos fugiat.,IoC Detected,44.4,Alert Triggered,DDoS,Known Pattern A,Logged,Low,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/5.0),Segment A,"Shahjahanpur, Andhra Pradesh",180.52.47.153,NA,Alert Data,Firewall
10.42.0.211-23.208.168.108-47380-80-6,29-05-21 15:33,197.137.61.248,87.49.219.65,64351,43307,ICMP,1487,Control,HTTP,Esse esse optio excepturi delectus dolore molestiae omnis. Eligendi omnis sapiente voluptatem corporis libero pariatur consequuntur.,IoC Detected,45.42,Alert Triggered,Intrusion,Known Pattern B,Blocked,Low,Opera/8.62.(X11; Linux i686; ru-UA) Presto/2.9.184 Version/11.00,Segment C,"Solapur, Madhya Pradesh",NA,Log Data,Alert Data,Firewall
10.42.0.151-104.244.43.99-50130-443-6,30-05-22 18:26,69.60.34.24,160.208.108.125,19954,11594,UDP,563,Control,DNS,Quasi tempore quam recusandae. Voluptate earum placeat similique. Id voluptatibus voluptatem quas numquam expedita saepe. Itaque aspernatur fugit beatae nulla.,IoC Detected,25.7,Alert Triggered,Intrusion,Known Pattern B,Ignored,Medium,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/61.0.892.0 Safari/533.0",Segment C,"Coimbatore, Telangana",NA,Log Data,Alert Data,Firewall
10.42.0.1-10.42.0.42-53-17535-17,02-08-22 19:15,110.207.118.63,172.36.150.79,63062,49527,TCP,1313,Control,HTTP,Debitis quam dolor incidunt esse quaerat amet. Ex voluptatibus temporibus beatae nulla rem rerum quam. Accusantium quibusdam velit sit.,IoC Detected,69.2,Alert Triggered,DDoS,Known Pattern B,Logged,Low,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) CriOS/61.0.810.0 Mobile/41V682 Safari/536.0",Segment C,"Serampore, West Bengal",NA,Log Data,NA,Firewall
202.77.129.185-10.42.0.211-80-56312-6,10-01-23 12:29,188.40.103.145,84.139.233.32,39208,61136,UDP,350,Control,HTTP,Ipsa dolore eligendi amet necessitatibus. Voluptas neque praesentium possimus magni vero nam. Eius quas reiciendis rem iure tempore dolore. Asperiores ducimus omnis tenetur consequatur iure sequi.,NA,77.06,Alert Triggered,DDoS,Known Pattern A,Ignored,Medium,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/535.44.6 (KHTML, like Gecko) Version/5.0 Safari/535.44.6",Segment A,"Gudivada, Karnataka",NA,Log Data,Alert Data,Firewall
10.42.0.211-36.51.254.232-55450-443-6,15-10-20 19:05,99.8.190.190,91.166.229.253,12932,47900,TCP,373,Data,DNS,"Iste harum voluptas hic harum sapiente suscipit sit. Est atque veniam aliquid ipsam aut. Eveniet pariatur id facilis.
Quidem quibusdam dolor. Incidunt qui illo repellat vitae.",IoC Detected,3.87,Alert Triggered,Malware,Known Pattern A,Ignored,Medium,Opera/9.76.(X11; Linux i686; ha-NG) Presto/2.9.181 Version/12.00,Segment B,"Nellore, Tripura",NA,Log Data,Alert Data,Server
220.170.182.31-10.42.0.42-443-42100-6,09-06-21 18:55,128.62.6.140,4.104.218.143,11482,16459,ICMP,1155,Control,DNS,"Maxime nihil illo recusandae iusto minima. Fugiat occaecati ullam tempora.
Earum nulla laudantium illum rem voluptatem libero. Nesciunt aliquam officiis accusantium sunt laboriosam repudiandae.",NA,25.93,Alert Triggered,Malware,Known Pattern A,Blocked,Low,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_0) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/45.0.897.0 Safari/533.2",Segment B,"Ludhiana, Goa",40.171.118.90,NA,NA,Firewall
172.217.10.10-10.42.0.151-443-45380-6,08-07-20 8:08,211.43.37.93,93.146.128.133,18768,8138,TCP,521,Data,FTP,"Dignissimos a rerum. Corrupti distinctio odio eligendi culpa optio.
A quis odit error. Quia ipsum consequatur mollitia animi nihil consequuntur. Sapiente reprehenderit placeat modi quaerat.",IoC Detected,60.57,Alert Triggered,DDoS,Known Pattern B,Ignored,High,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/10.1v4161.0 Mobile/63G518 Safari/532.2",Segment C,"Orai, Tamil Nadu",NA,Log Data,Alert Data,Server
172.217.12.142-10.42.0.211-443-41534-6,23-09-23 19:07,203.171.62.228,27.5.94.221,41615,15184,ICMP,1346,Data,FTP,Magni blanditiis veritatis asperiores nihil. Similique est quibusdam cupiditate. Voluptas a dolorem. Explicabo sapiente autem.,IoC Detected,67.73,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,Mozilla/5.0 (Android 7.1; Mobile; rv:22.0) Gecko/22.0 Firefox/22.0,Segment A,"Jaunpur, Uttar Pradesh",NA,NA,Alert Data,Server
172.217.10.240-10.42.0.42-443-51196-6,22-05-22 3:10,115.120.220.179,72.56.150.150,34512,40467,UDP,1311,Control,DNS,"Id repellat nesciunt atque cumque ullam.
Quasi sunt autem enim totam temporibus. Nemo pariatur nemo possimus ducimus odio sunt impedit.
Beatae molestias dolorum vitae.",IoC Detected,75.16,Alert Triggered,DDoS,Known Pattern B,Blocked,Medium,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/16.4h8714.0 Mobile/30G353 Safari/534.2",Segment C,"Hubli–Dharwad, Chhattisgarh",NA,NA,Alert Data,Firewall
180.149.135.239-10.42.0.211-80-38435-6,04-06-22 20:45,140.29.40.43,61.57.62.247,28975,5960,UDP,117,Control,FTP,"Mollitia beatae esse saepe culpa. Deserunt ipsa incidunt ipsam mollitia.
Iusto ipsum cupiditate ipsa sed. Maiores minima vero. Iste dolores qui ea neque maiores.",NA,75.46,Alert Triggered,Malware,Known Pattern B,Logged,Low,Mozilla/5.0 (Android 1.0; Mobile; rv:45.0) Gecko/45.0 Firefox/45.0,Segment B,"Sagar, Mizoram",NA,NA,NA,Server
172.217.6.238-10.42.0.151-443-39286-6,29-12-22 23:42,76.128.95.185,142.92.111.242,46111,15554,TCP,1271,Control,HTTP,"Ad minima praesentium ducimus doloribus nobis quos. Mollitia illum laudantium vitae enim.
Optio et laboriosam non expedita perspiciatis iusto.",NA,49.03,Alert Triggered,Malware,Known Pattern B,Logged,Medium,Opera/8.48.(Windows NT 6.0; mt-MT) Presto/2.9.171 Version/12.00,Segment C,"Medininagar, Gujarat",NA,NA,Alert Data,Firewall
202.77.129.146-10.42.0.211-80-58898-6,14-03-23 7:27,118.23.216.0,109.17.204.56,5032,1068,TCP,308,Control,DNS,"Debitis ut occaecati nostrum tempore sunt illum. Repudiandae dolorum reiciendis aperiam. Minima sequi alias doloremque ducimus.
Illo officia molestiae voluptas. Rem ullam placeat ea.",NA,85.28,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/10.8u7697.0 Mobile/58J944 Safari/534.2",Segment A,"Ichalkaranji, Sikkim",153.251.24.124,NA,NA,Server
10.42.0.211-64.71.142.96-40902-80-6,13-02-21 16:45,212.153.110.146,59.138.247.230,58316,54095,TCP,545,Data,DNS,Officia odio expedita. Ab facilis recusandae debitis labore eaque non impedit. Maiores eveniet in ipsam ducimus consequuntur cupiditate.,NA,6.44,Alert Triggered,DDoS,Known Pattern B,Ignored,Medium,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ber-DZ) AppleWebKit/535.35.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6535.35.7",Segment A,"Bidar, Maharashtra",NA,NA,Alert Data,Firewall
10.42.0.211-106.39.169.66-60138-443-6,23-05-21 16:29,6.64.251.220,137.104.11.138,26896,45972,UDP,572,Control,DNS,Voluptatem aliquam sit. Asperiores quae doloremque at sit dolorem. Laboriosam necessitatibus in magni.,NA,22.17,Alert Triggered,DDoS,Known Pattern B,Ignored,Low,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/5.0),Segment B,"Dewas, Uttar Pradesh",172.194.101.64,Log Data,Alert Data,Server
172.217.3.110-10.42.0.151-443-56137-6,01-12-22 8:47,170.112.189.99,21.28.78.79,1031,40417,TCP,1474,Control,HTTP,Impedit itaque debitis repellendus. Reprehenderit ad dolore officiis natus placeat. Ducimus nostrum perferendis praesentium.,IoC Detected,29.66,Alert Triggered,DDoS,Known Pattern B,Logged,Low,"Mozilla/5.0 (Linux; Android 4.4) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/16.0.840.0 Safari/534.2",Segment A,"Adoni, Tripura",NA,NA,NA,Firewall
185.63.144.1-10.42.0.42-80-50094-6,21-07-22 20:33,50.30.140.36,76.154.100.68,57124,48417,UDP,1363,Data,FTP,Nulla magnam minima dolor similique tempore assumenda. Voluptatum ad voluptate expedita.,IoC Detected,10.75,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/531.24.5 (KHTML, like Gecko) Version/5.0.4 Safari/531.24.5",Segment A,"Eluru, Uttarakhand",NA,Log Data,NA,Server
10.42.0.211-10.42.0.1-19894-53-17,09-06-23 5:57,194.120.14.24,201.55.168.126,32979,3852,UDP,443,Data,DNS,"Dicta ex ex asperiores consequuntur. Nostrum beatae aspernatur atque assumenda necessitatibus dolore.
Inventore inventore laborum praesentium. Laborum quisquam tenetur minima.",NA,42.14,Alert Triggered,Malware,Known Pattern B,Ignored,High,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_5; rv:1.9.3.20) Gecko/2197-07-11 00:07:59 Firefox/14.0,Segment A,"Parbhani, Rajasthan",16.90.191.251,Log Data,Alert Data,Server
10.42.0.42-119.146.74.31-35471-443-6,10-04-20 18:21,69.29.17.248,85.236.61.31,59738,44531,TCP,1026,Data,FTP,Esse harum consequuntur numquam sint tempore ducimus. Autem numquam nostrum id mollitia veritatis. Incidunt odit perspiciatis hic placeat aut accusantium. Possimus voluptatibus consectetur quis.,NA,77.73,Alert Triggered,DDoS,Known Pattern B,Logged,Low,Opera/9.51.(X11; Linux i686; byn-ER) Presto/2.9.185 Version/12.00,Segment A,"Panvel, West Bengal",NA,NA,NA,Firewall
172.217.10.34-10.42.0.211-443-35051-6,16-05-23 13:01,170.211.138.30,172.97.181.148,25022,6593,TCP,554,Control,DNS,Voluptate mollitia cupiditate necessitatibus nisi expedita pariatur. Recusandae dolorum eligendi qui placeat placeat molestiae dolorum. Odio sequi aut deleniti eius molestias.,IoC Detected,97.82,Alert Triggered,Malware,Known Pattern B,Blocked,High,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; sk-SK) AppleWebKit/531.45.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6531.45.6",Segment A,"Amravati, Kerala",95.170.137.42,Log Data,Alert Data,Firewall
10.42.0.211-23.192.76.180-48136-80-6,08-10-20 4:34,107.247.253.62,45.35.146.21,10584,23178,ICMP,649,Data,HTTP,Velit quis ad a aliquam veniam laboriosam dignissimos. Assumenda tenetur maiores animi harum iusto aut. Itaque quidem voluptas quidem.,IoC Detected,83.36,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/7083-06-02 15:24:24 Firefox/3.6.9,Segment C,"Vijayawada, Bihar",197.238.110.123,NA,Alert Data,Server
216.58.219.206-10.42.0.151-443-52192-6,20-08-21 14:42,118.175.170.127,43.100.128.47,23934,57206,TCP,1378,Control,DNS,"Pariatur quia dolore praesentium. Ut dolorem nihil nulla.
Ab unde maiores deserunt tempora. Debitis numquam sed nisi. Vitae deleniti cum.",IoC Detected,40.71,Alert Triggered,Malware,Known Pattern A,Blocked,Medium,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/4.1),Segment C,"Giridih, Chhattisgarh",20.86.235.147,Log Data,Alert Data,Firewall
